Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price
12/1/2020 8:26,17850,Dog and Puppy Pads,85123A,536365,1,15.3,15.3
12/1/2020 8:34,13047,Pet Odor Eliminator,84879,536367,6,60.84,10.14
12/1/2020 8:34,13047,Rechargeable Pet Nail Grinder,22960,536368,1,25.5,25.5
12/1/2020 9:00,13748,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536371,14,214.2,15.3
12/1/2020 9:02,17850,Dog and Puppy Pads,85123A,536373,1,15.3,15.3
12/1/2020 9:32,15291,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536376,8,165.6,20.7
12/1/2020 9:32,17850,Dog and Puppy Pads,85123A,536375,1,15.3,15.3
12/1/2020 9:37,14688,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536378,2,23.4,11.7
12/1/2020 9:37,14688,Pet Grooming Brush,20725,536378,2,19.8,9.9
12/1/2020 9:41,15311,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536381,1,17.7,17.7
12/1/2020 9:53,18074,NexGard Chew for Dogs,82484,536384,1,38.7,38.7
12/1/2020 9:56,17420,Rechargeable Pet Nail Grinder,22960,536385,1,25.5,25.5
12/1/2020 9:57,16029,Earth Rated Dog Poop Bags,85099B,536386,17,168.3,9.9
12/1/2020 9:58,16029,ProBiotic Supplements for Dogs,79321,536387,32,733.44,22.92
12/1/2020 10:19,17511,Dog and Puppy Pads,85123A,536390,11,168.3,15.3
12/1/2020 10:19,17511,Earth Rated Dog Poop Bags,85099B,536390,17,168.3,9.9
12/1/2020 10:19,17511,Rechargeable Pet Nail Grinder,22960,536390,2,45,22.5
12/1/2020 10:19,17511,Sheba Perfect Portions Pat Wet Cat Food,22197,536390,17,73.44,4.32
12/1/2020 10:29,13705,Indoor Pet Camera (Wi-Fi),22502,536392,1,35.7,35.7
12/1/2020 10:29,13705,Pet Odor Eliminator,84879,536392,3,30.42,10.14
12/1/2020 10:39,13408,Dog and Puppy Pads,85123A,536394,6,91.8,15.3
12/1/2020 10:47,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536395,2,47.4,23.7
12/1/2020 10:47,13767,Pet Odor Eliminator,84879,536395,6,60.84,10.14
12/1/2020 10:51,17850,Dog and Puppy Pads,85123A,536396,1,15.3,15.3
12/1/2020 10:52,13448,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536398,1,23.7,23.7
12/1/2020 11:21,15862,Dog and Puppy Pads,85123A,536401,1,17.7,17.7
12/1/2020 11:21,15862,Indoor Pet Camera (Wi-Fi),22502,536401,1,35.7,35.7
12/1/2020 11:21,15862,Pet Grooming Brush,20725,536401,1,9.9,9.9
12/1/2020 11:22,15513,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536402,7,107.1,15.3
12/1/2020 11:29,16218,Sheba Perfect Portions Pat Wet Cat Food,22197,536404,6,30.6,5.1
12/1/2020 11:33,17850,Dog and Puppy Pads,85123A,536406,2,30.6,15.3
12/1/2020 11:41,14307,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536408,1,23.7,23.7
12/1/2020 11:41,14307,Pet Odor Eliminator,84879,536408,2,20.28,10.14
12/1/2020 11:45,17908,Earth Rated Dog Poop Bags,85099B,536409,1,11.7,11.7
12/1/2020 11:45,17908,Sheba Perfect Portions Pat Wet Cat Food,22197,536409,1,5.1,5.1
12/1/2020 11:49,17920,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536412,1,17.7,17.7
12/1/2020 11:49,17920,Pet Grooming Brush,20725,536412,1,9.9,9.9
12/1/2020 11:49,17920,Sheba Perfect Portions Pat Wet Cat Food,22197,536412,1,5.1,5.1
12/1/2020 11:57,12838,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536415,1,17.7,17.7
12/1/2020 12:08,13758,ProBiotic Supplements for Dogs,79321,536425,2,59.4,29.7
12/1/2020 12:22,14849,Pet Odor Eliminator,84879,536460,4,40.56,10.14
12/1/2020 12:23,14849,Rechargeable Pet Nail Grinder,22960,536466,1,25.5,25.5
12/1/2020 12:23,17968,Earth Rated Dog Poop Bags,85099B,536464,1,11.7,11.7
12/1/2020 12:23,17968,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536464,1,17.7,17.7
12/1/2020 12:23,17968,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536464,1,11.7,11.7
12/1/2020 12:23,17968,Pet Odor Eliminator,84879,536464,2,20.28,10.14
12/1/2020 12:23,17968,Rechargeable Pet Nail Grinder,22960,536464,1,25.5,25.5
